id,catalog,messier,caldwell,ngc_ic,name,all_ids,type,mag,constellation,size_arcmin,ra_deg,dec_deg,season
NGC7406,NGC,,,NGC 7406,,NGC 7406,G,14.17,Aquarius,0.92,343.48433,-6.57925,Autumn
NGC7407,NGC,,,NGC 7407,,NGC 7407,G,14.11,Pegasus,1.67,343.33700,32.13067,Autumn
NGC7408,NGC,,,NGC 7408,,NGC 7408,G,15.41,Tucana,1.91,343.98692,-63.69472,Unknown
NGC7409,NGC,,,NGC 7409,,NGC 7409,G,15.49,Pegasus,0.58,343.45050,20.21039,Autumn
NGC7410,NGC,,,NGC 7410,,NGC 7410,G,11.19,Grus,6.01,343.75396,-39.66133,Unknown
NGC7411,NGC,,,NGC 7411,,NGC 7411,G,14.64,Pegasus,1.00,343.64550,20.23617,Autumn
NGC7412,NGC,,,NGC 7412,,NGC 7412,G,11.33,Grus,3.79,343.94063,-42.64203,Unknown
NGC7412A,NGC,,,NGC 7412A,,NGC 7412A,G,13.96,Grus,0.59,344.28750,-42.80447,Unknown
NGC7413,NGC,,,NGC 7413,,NGC 7413,G,15.16,Pegasus,1.14,343.76292,13.22047,Autumn
NGC7414,NGC,,,NGC 7414,,NGC 7414,G,16.77,Pegasus,0.62,343.85175,13.24828,Autumn
NGC7415,NGC,,,NGC 7415,,NGC 7415,G,14.96,Pegasus,0.82,343.72342,20.26156,Autumn
NGC7416,NGC,,,NGC 7416,,NGC 7416,G,12.33,Aquarius,3.08,343.92375,-5.49533,Autumn
NGC7417,NGC,,,NGC 7417,,NGC 7417,G,12.31,Tucana,2.21,344.45629,-65.03856,Unknown
NGC7418,NGC,,,NGC 7418,,"NGC 7418,IC 1459",G,11.04,Grus,3.66,344.15067,-37.03008,Unknown
NGC7418A,NGC,,,NGC 7418A,,NGC 7418A,G,13.6,Grus,1.75,344.17188,-36.77272,Unknown
NGC7419,NGC,,,NGC 7419,,NGC 7419,OCl,13,Cepheus,4.08,343.58358,60.81553,Autumn
NGC7420,NGC,,,NGC 7420,,NGC 7420,G,14.94,Pegasus,0.85,343.88354,29.80500,Autumn
NGC7421,NGC,,,NGC 7421,,NGC 7421,G,11.99,Grus,2.38,344.22638,-37.34725,Unknown
NGC7422,NGC,,,NGC 7422,,NGC 7422,G,14.26,Pisces,0.83,344.05158,3.92678,Autumn
NGC7423,NGC,,,NGC 7423,,NGC 7423,OCl,,Cepheus,3.60,343.78558,57.09692,Autumn
